Phylum,Class,Order,Family,Genus,Species,Oxygen,pH,Spore,energy_mode,primary_food_source,id
Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,,anaerobe,Unknown,Unknown,,,93
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Obeum,anaerobe,Unknown,0,fermenter,carbohydrates,94
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,,anaerobe,Unknown,Unknown,,,95
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,C21_C20,anaerobe,alkaliphile,0,,,96
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Krokinobacter,Genikus,Unknown,Unknown,Unknown,,,97
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,,anaerobe,alkaliphile,0,,,99
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Dehalobacterium,,Unknown,Unknown,Unknown,,,100
Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,Dietzia,,aerobe,alkaliphile,0,,,101
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerofilum,,anaerobe,Unknown,Unknown,,,102
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Anginosus,facultative anaerobe,alkaliphile,0,mixed,carbohydrates,103
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Pectinatus,,anaerobe,alkaliphile,0,,,104
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Succinicans,aerobe,alkaliphile,0,,,105
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Acnes,anaerobe,alkaliphile,0,fermenter,N/A,108
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,aerobe,alkaliphile,0,,,110
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidum,anaerobe,acidophile,0,fermenter,carbohydrates,111
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,,microaerophile,acidophile,0,,,113
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,anaerobe,Unknown,Unknown,,,114
Bacillota,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,,anaerobe,Unknown,Unknown,,,115
Spirochaetota,Spirochaetia,Spirochaetales,Sphaerochaetaceae,Sphaerochaeta,,anaerobe,Unknown,Unknown,,,116
Bacillota,Clostridia,Peptostreptococcales,Tindalliaceae,Tindallia,,anaerobe,Unknown,Unknown,,,117
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,,anaerobe,Unknown,0,,,118
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,,anaerobe,alkaliphile,0,N/A,N/A,120
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Formicigenerans,anaerobe,Unknown,0,fermenter,carbohydrates,121
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Parainfluenzae,microaerophile,Unknown,0,mixed,N/A,124
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Anaerofustis,,anaerobe,Unknown,Unknown,,,125
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nigrescens,anaerobe,alkaliphile,0,fermenter,carbohydrates,127
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Dispar,anaerobe,alkaliphile,0,fermenter,carbohydrates,128
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Stercorea,anaerobe,alkaliphile,0,fermenter,carbohydrates,129
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,,anaerobe,Unknown,0,,,130
Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,,anaerobe,Unknown,0,,,133
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Ruminantium,anaerobe,alkaliphile,1,,,135
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnobacterium,,anaerobe,Unknown,Unknown,,,136
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Agilis,anaerobe,acidophile,0,,,137
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,aerobe,alkaliphile,0,,,138
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Candidatus Epulonipiscium,,Unknown,Unknown,Unknown,,,140
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Asahii,aerobe,alkaliphile,1,,,143
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Casseliflavus,facultative anaerobe,alkaliphile,0,mixed,carbohydrates,145
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Tannerae,anaerobe,alkaliphile,0,,,146
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,,anaerobe,Unknown,0,,,147
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Luteciae,facultative anaerobe,alkaliphile,0,,,148
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Pectinoschiza,anaerobe,Unknown,Unknown,,,149
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,,anaerobe,Unknown,0,,,150
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Uniformis,anaerobe,alkaliphile,0,fermenter,carbohydrates,152
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Bryantii,anaerobe,alkaliphile,0,,,153
Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Indistinctus,anaerobe,Unknown,0,fermenter,carbohydrates,155
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Thiobacillus,,anaerobe,alkaliphile,0,,,156
Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,,anaerobe,alkaliphile,0,,,157
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Formigenes,anaerobe,Unknown,Unknown,fermenter,carbohydrates,158
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,,aerobe,alkaliphile,0,,,161
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Oxytoca,aerobe,Unknown,0,N/A,N/A,163
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus,,anaerobe,Unknown,0,,,164
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hylemonella,,aerobe,Unknown,Unknown,,,166
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Prauserella,Rugosa,aerobe,alkaliphile,1,,,167
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,,anaerobe,Unknown,0,,,169
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Caloramator,,anaerobe,alkaliphile,0,,,170
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Paradoxus,aerobe,alkaliphile,0,,,171
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Butyricum,anaerobe,alkaliphile,1,fermenter,carbohydrates,172
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Coprosuis,anaerobe,alkaliphile,0,,,173
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Intestinale,anaerobe,alkaliphile,1,,,175
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Vaginae,anaerobe,Unknown,Unknown,,,176
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Laterosporus,aerobe,alkaliphile,1,N/A,N/A,178
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Wohlfahrtii,aerobe,alkaliphile,0,,,179
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Parahaemolyticus,facultative anaerobe,Unknown,Unknown,,,180
Bacillota,Clostridia,Eubacteriales,Desulfallaceae,Sporotomaculum,,anaerobe,Unknown,Unknown,,,182
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Papillibacter,Cinnamivorans,anaerobe,Unknown,Unknown,,,183
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Denitrobacter,,anaerobe,Unknown,Unknown,,,184
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Thiomonas,Cuprina,aerobe,acidophile,0,,,187
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Curvus,aerobe,Unknown,Unknown,,,189
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora,Tropica,aerobe,Unknown,0,,,197
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas,,aerobe,alkaliphile,0,,,198
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Lividum,aerobe,Unknown,Unknown,,,199
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,,anaerobe,Unknown,Unknown,,,201
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Yabuuchiae,aerobe,alkaliphile,0,,,202
Synergistota,Synergistia,Synergistales,Acetomicrobiaceae,Acetomicrobium,Acetomicrobium hydrogeniformans,anaerobe,alkaliphile,0,,,203
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,,aerobe,Unknown,Unknown,,,205
Arthropoda,Insecta,Coleoptera,Lampyridae,Serratia,Marcescens,aerobe,alkaliphile,0,mixed,N/A,206
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,,anaerobe,Unknown,Unknown,,,207
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Vulgaris,anaerobe,alkaliphile,0,fermenter,N/A,208
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Gasigenes,anaerobe,alkaliphile,1,,,210
Bacillota,Clostridia,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,Saccharolyticus,anaerobe,alkaliphile,0,fermenter,complex_carbs_fiber,211
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,,anaerobe,alkaliphile,0,,,213
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,,aerobe,alkaliphile,0,,,214
Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,,Unknown,Unknown,Unknown,,,216
Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorochromatii,anaerobe,Unknown,Unknown,fermenter,N/A,217
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Coprobacillus,Cateniformis,anaerobe,Unknown,Unknown,N/A,N/A,218
Bacillota,Clostridia,Eubacteriales,Gracilibacteraceae,Gracilibacter,,anaerobe,Unknown,Unknown,,,219
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Garvieae,facultative anaerobe,alkaliphile,0,mixed,carbohydrates,220
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Andropogonis,aerobe,Unknown,0,,,222
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,,aerobe,alkaliphile,Unknown,,,223
Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,Bdellovibrio,,Unknown,Unknown,Unknown,,,228
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,,anaerobe,Unknown,Unknown,,,229
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Skyensis,facultative anaerobe,Unknown,Unknown,,,231
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Ruminantium,anaerobe,Unknown,0,fermenter,N/A,232
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hespellia,Stercorisuis,anaerobe,Unknown,0,,,233
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,,aerobe,alkaliphile,Unknown,,,234
Bacillota,Clostridia,Eubacteriales,Desulfotomaculaceae,Desulfotomaculum,,anaerobe,alkaliphile,1,,,235
Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Pomorum,aerobe,acidophile,1,,,237
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Hippei,anaerobe,Unknown,0,fermenter,carbohydrates,238
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,Depolymerans,aerobe,alkaliphile,0,,,239
Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,,anaerobe,Unknown,Unknown,,,241
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Delafieldii,aerobe,alkaliphile,0,N/A,N/A,242
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,,aerobe,Unknown,Unknown,,,243
Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Cycloheptanicus,aerobe,acidophile,1,,,244
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Celatum,anaerobe,alkaliphile,1,fermenter,carbohydrates,245
Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,Meridiei,anaerobe,Unknown,1,,,246
Bacillota,Tissierellia,Tissierellales,Tissierellaceae,Sedimentibacter,,anaerobe,alkaliphile,0,,,247
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Robinsoniella,Peoriensis,anaerobe,Unknown,1,,,250
Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Albertensis,facultative anaerobe,acidophile,0,,,252
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,,anaerobe,Unknown,Unknown,,,253
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Delphinicola,facultative anaerobe,Unknown,Unknown,,,255
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,,aerobe,alkaliphile,0,,,256
Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,,anaerobe,Unknown,Unknown,,,257
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Methylpentosum,anaerobe,alkaliphile,1,,,258
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,,anaerobe,Unknown,0,,,263
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,,aerobe,alkaliphile,0,,,264
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Congregibacter,,microaerophile,alkaliphile,0,,,265
Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,,aerobe,alkaliphile,0,,,266
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Chelonobacter,,aerobe,Unknown,Unknown,,,269
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,anaerobe,Unknown,Unknown,,,270
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,,aerobe,Unknown,Unknown,,,271
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,,Unknown,Unknown,Unknown,,,272
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Chrysanthemi,facultative anaerobe,alkaliphile,0,,,273
Bacillota,Bacilli,Bacillales,Exiguobacteraceae,Exiguobacterium,,aerobe,alkaliphile,0,,,274
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia,Alvei,aerobe,Unknown,0,mixed,N/A,275
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Aquincola,Tertiaricarbonis,aerobe,alkaliphile,0,,,278
Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Butyricicoccus,Pullicaecorum,anaerobe,acidophile,0,mixed,carbohydrates,279
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Rubrivivax,Gelatinosus,aerobe,Unknown,0,,,280
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Brackiella,Oedipodis,aerobe,Unknown,Unknown,,,281
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Shigelloides,aerobe,Unknown,0,respirer,N/A,282
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Stellifer,aerobe,alkaliphile,1,,,283
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,,anaerobe,Unknown,Unknown,,,284
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Moorei,anaerobe,Unknown,Unknown,,,286
Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,,anaerobe,alkaliphile,0,,,287
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Alcaligenes,aerobe,alkaliphile,0,,,288
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Ureolyticus,microaerophile,acidophile,0,mixed,N/A,289
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Cylindroides,anaerobe,Unknown,0,,,290
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,,anaerobe,Unknown,Unknown,,,291
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Stercoris,anaerobe,Unknown,0,fermenter,carbohydrates,292
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Bromii,anaerobe,Unknown,0,fermenter,carbohydrates,293
Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Gadei,anaerobe,Unknown,0,mixed,carbohydrates,296
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Felis,microaerophile,Unknown,0,,,297
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Pneumotropica,microaerophile,Unknown,Unknown,,,298
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Freundii,aerobe,alkaliphile,0,mixed,N/A,299
