taxon_id	scientific_name	taxonomic_rank	phylum	disease_id	disease_name	mesh_id	n_associations	n_studies	n_studies_enriched	n_studies_depleted	n_sources	mean_abs_effect_size	consensus_direction	agreement_ratio	has_conflict
47	Paraprevotella	genus	Bacteroidetes	12713	Crohn Disease	D003424	10	7	0	7	1	3.175	depleted	1.000	0
7677	Oscillibacter	genus	Firmicutes	12713	Crohn Disease	D003424	9	7	0	7	1	3.971	depleted	1.000	0
7960	Enterocloster	genus	Firmicutes	12713	Crohn Disease	D003424	11	7	7	0	1	4.047	enriched	1.000	0
8100	Alloprevotella	genus	Bacteroidetes	20491	Colorectal Neoplasms	D015179	8	7	7	0	1	2.887	enriched	1.000	0
8178	Solobacterium	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	7	7	7	0	1	3.042	enriched	1.000	0
7876	Dorea	genus	Firmicutes	12713	Crohn Disease	D003424	8	7	1	7	1	3.59	depleted	0.875	1
81	Methanobrevibacter	genus	Euryarchaeota	12713	Crohn Disease	D003424	9	7	1	6	1	2.998	depleted	0.857	1
7665	Fusicatenibacter	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	7	7	1	6	1	3.711	depleted	0.857	1
7870	Blautia	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	7	7	1	6	1	4.059	depleted	0.857	1
13	Phascolarctobacterium	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	7	6	0	6	1	3.649	depleted	1.000	0
7659	Segatella	genus	Bacteroidetes	12713	Crohn Disease	D003424	7	6	0	6	1	4.274	depleted	1.000	0
7713	Agathobaculum	genus	Firmicutes	12713	Crohn Disease	D003424	7	6	0	6	1	3.085	depleted	1.000	0
7713	Agathobaculum	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	6	0	6	1	3.316	depleted	1.000	0
7720	Thomasclavelia	genus	Firmicutes	12713	Crohn Disease	D003424	8	6	6	0	1	3.531	enriched	1.000	0
7739	Flavonifractor	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	7	6	6	0	1	3.561	enriched	1.000	0
7752	Jutongia	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	6	0	6	1	2.695	depleted	1.000	0
7877	Enterococcus	genus	Firmicutes	12713	Crohn Disease	D003424	7	6	6	0	1	3.916	enriched	1.000	0
8011	Candidatus Cibiobacter	genus	Firmicutes	12713	Crohn Disease	D003424	8	6	0	6	1	3.773	depleted	1.000	0
8011	Candidatus Cibiobacter	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	6	0	6	1	3.881	depleted	1.000	0
8047	Gemmiger	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	7	6	0	6	1	3.523	depleted	1.000	0
94	Butyricimonas	genus	Bacteroidetes	12711	Colitis, Ulcerative	D003093	9	6	1	6	1	2.997	depleted	0.857	1
7682	Wujia	genus	Firmicutes	12713	Crohn Disease	D003424	7	6	1	6	1	3.555	depleted	0.857	1
7685	Waltera	genus	NULL	12713	Crohn Disease	D003424	8	6	1	6	1	3.667	depleted	0.857	1
7694	Monoglobus	genus	Firmicutes	12713	Crohn Disease	D003424	9	6	1	6	1	3.296	depleted	0.857	1
7720	Thomasclavelia	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	8	6	6	1	1	3.524	enriched	0.857	1
8047	Gemmiger	genus	Firmicutes	12713	Crohn Disease	D003424	7	6	1	6	1	3.533	depleted	0.857	1
7664	Coprococcus	genus	Firmicutes	28066	COVID-19	D000086382	6	6	1	5	1	3.816	depleted	0.833	1
7673	Prevotella	genus	Bacteroidetes	12713	Crohn Disease	D003424	7	6	1	5	1	4.152	depleted	0.833	1
7682	Wujia	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	7	6	1	5	1	3.491	depleted	0.833	1
7686	Roseburia	genus	Firmicutes	28066	COVID-19	D000086382	6	6	1	5	1	3.881	depleted	0.833	1
7700	Faecalicatena	genus	Firmicutes	12713	Crohn Disease	D003424	6	6	1	5	1	2.758	depleted	0.833	1
7700	Faecalicatena	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	6	1	5	1	2.92	depleted	0.833	1
7810	Megamonas	genus	Firmicutes	12713	Crohn Disease	D003424	7	6	1	5	1	3.512	depleted	0.833	1
7824	Romboutsia	genus	Firmicutes	12713	Crohn Disease	D003424	8	6	1	5	1	3.167	depleted	0.833	1
7871	Butyricicoccus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	6	1	5	1	3.548	depleted	0.833	1
7901	Clostridium	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	6	1	5	1	4.035	depleted	0.833	1
8037	Faecalibacillus	genus	Firmicutes	12713	Crohn Disease	D003424	6	6	1	5	1	3.096	depleted	0.833	1
46	Peptoniphilus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	8	5	5	0	1	2.788	enriched	1.000	0
70	Adlercreutzia	genus	Actinobacteria	12713	Crohn Disease	D003424	7	5	0	5	1	3.083	depleted	1.000	0
235	Bilophila	genus	Thermodesulfobacteria	20491	Colorectal Neoplasms	D015179	5	5	5	0	1	3.215	enriched	1.000	0
480	Anaerococcus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	5	0	1	2.747	enriched	1.000	0
7665	Fusicatenibacter	genus	Firmicutes	28066	COVID-19	D000086382	5	5	0	5	1	4.037	depleted	1.000	0
7671	Lachnospira	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	5	5	0	5	1	4.028	depleted	1.000	0
7694	Monoglobus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	0	5	1	3.429	depleted	1.000	0
7752	Jutongia	genus	Firmicutes	12713	Crohn Disease	D003424	6	5	0	5	1	2.667	depleted	1.000	0
7755	Eisenbergiella	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	5	0	1	3.212	enriched	1.000	0
7792	Lachnoclostridium	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	5	0	1	3.085	enriched	1.000	0
7824	Romboutsia	genus	Firmicutes	28066	COVID-19	D000086382	5	5	0	5	1	3.106	depleted	1.000	0
7829	Escherichia	genus	Proteobacteria	12713	Crohn Disease	D003424	8	5	5	0	1	4.598	enriched	1.000	0
7843	Desulfovibrio	genus	Thermodesulfobacteria	20491	Colorectal Neoplasms	D015179	6	5	5	0	1	3.342	enriched	1.000	0
7860	Hungatella	genus	Firmicutes	12713	Crohn Disease	D003424	6	5	5	0	1	2.993	enriched	1.000	0
7871	Butyricicoccus	genus	Firmicutes	12713	Crohn Disease	D003424	5	5	0	5	1	3.335	depleted	1.000	0
7876	Dorea	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	0	5	1	3.585	depleted	1.000	0
7877	Enterococcus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	5	0	1	4.11	enriched	1.000	0
8096	Agathobacter	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	0	5	1	4.181	depleted	1.000	0
9195	Veillonellaceae	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	5	0	1	3.104	enriched	1.000	0
9263	Faecalimonas	genus	Firmicutes	12713	Crohn Disease	D003424	8	5	5	0	1	3.36	enriched	1.000	0
9313	Peptostreptococcus	genus	Firmicutes	12713	Crohn Disease	D003424	5	5	5	0	1	2.974	enriched	1.000	0
7658	Ruminococcus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	6	5	1	5	1	4.004	depleted	0.833	1
7845	Anaerobutyricum	genus	Firmicutes	12713	Crohn Disease	D003424	6	5	1	5	1	3.063	depleted	0.833	1
57	Anaerostipes	genus	Firmicutes	28066	COVID-19	D000086382	5	5	1	4	1	4.109	depleted	0.800	1
106	Sutterella	genus	Proteobacteria	12713	Crohn Disease	D003424	7	5	1	4	1	3.642	depleted	0.800	1
173	Holdemania	genus	Firmicutes	12713	Crohn Disease	D003424	5	5	1	4	1	2.755	depleted	0.800	1
7666	Faecalibacterium	genus	Firmicutes	28066	COVID-19	D000086382	5	5	1	4	1	4.448	depleted	0.800	1
7667	Alistipes	genus	Bacteroidetes	73716	Parkinson Disease	D010300	5	5	4	1	1	4.494	enriched	0.800	1
7669	Eubacterium	genus	Firmicutes	12713	Crohn Disease	D003424	6	5	1	4	1	3.863	depleted	0.800	1
7691	Parasutterella	genus	Proteobacteria	12713	Crohn Disease	D003424	5	5	1	4	1	3.131	depleted	0.800	1
7691	Parasutterella	genus	Proteobacteria	20491	Colorectal Neoplasms	D015179	5	5	1	4	1	3.381	depleted	0.800	1
7739	Flavonifractor	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	5	4	1	1	3.448	enriched	0.800	1
7788	Limosilactobacillus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	4	1	1	3.216	enriched	0.800	1
7792	Lachnoclostridium	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	5	5	1	4	1	3.614	depleted	0.800	1
7810	Megamonas	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	6	5	4	1	1	3.39	enriched	0.800	1
7843	Desulfovibrio	genus	Thermodesulfobacteria	12711	Colitis, Ulcerative	D003093	6	5	1	4	1	2.867	depleted	0.800	1
7845	Anaerobutyricum	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	1	4	1	3.177	depleted	0.800	1
7851	Streptococcus	genus	Firmicutes	28066	COVID-19	D000086382	5	5	4	1	1	4.256	enriched	0.800	1
8047	Gemmiger	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	1	4	1	4.089	depleted	0.800	1
8086	Simiaoa	genus	Firmicutes	12713	Crohn Disease	D003424	5	5	1	4	1	3.537	depleted	0.800	1
34	Granulicatella	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	4	4	4	0	1	3.063	enriched	1.000	0
40	Megasphaera	genus	Firmicutes	45328	Diabetes Mellitus, Type 2	D003924	5	4	4	0	1	4.3	enriched	1.000	0
70	Adlercreutzia	genus	Actinobacteria	20491	Colorectal Neoplasms	D015179	4	4	0	4	1	2.555	depleted	1.000	0
176	Gemella	genus	Firmicutes	12713	Crohn Disease	D003424	4	4	4	0	1	3.236	enriched	1.000	0
260	Leptotrichia	genus	Fusobacteria	20491	Colorectal Neoplasms	D015179	4	4	4	0	1	2.438	enriched	1.000	0
1101	Eggerthella	genus	Actinobacteria	20491	Colorectal Neoplasms	D015179	4	4	4	0	1	3.247	enriched	1.000	0
7669	Eubacterium	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	5	4	0	4	1	3.91	depleted	1.000	0
7671	Lachnospira	genus	Firmicutes	28066	COVID-19	D000086382	4	4	0	4	1	3.624	depleted	1.000	0
7685	Waltera	genus	NULL	20491	Colorectal Neoplasms	D015179	4	4	0	4	1	3.638	depleted	1.000	0
7686	Roseburia	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	4	4	0	4	1	4.115	depleted	1.000	0
7721	Barnesiella	genus	Bacteroidetes	56231	HIV Infections	D015658	4	4	0	4	1	3.212	depleted	1.000	0
7750	Victivallis	genus	Lentisphaerae	12713	Crohn Disease	D003424	4	4	0	4	1	2.465	depleted	1.000	0
7755	Eisenbergiella	genus	Firmicutes	12713	Crohn Disease	D003424	4	4	4	0	1	2.608	enriched	1.000	0
7782	Actinomyces	genus	Actinobacteria	12713	Crohn Disease	D003424	5	4	4	0	1	2.957	enriched	1.000	0
7782	Actinomyces	genus	Actinobacteria	20491	Colorectal Neoplasms	D015179	4	4	4	0	1	2.875	enriched	1.000	0
7788	Limosilactobacillus	genus	Firmicutes	12713	Crohn Disease	D003424	5	4	4	0	1	3.519	enriched	1.000	0
7796	Allisonella	genus	NULL	28066	COVID-19	D000086382	4	4	0	4	1	2.611	depleted	1.000	0
7813	Lactobacillus	genus	Firmicutes	12713	Crohn Disease	D003424	7	4	4	0	1	3.783	enriched	1.000	0
7857	Bifidobacterium	genus	Actinobacteria	28066	COVID-19	D000086382	4	4	0	4	1	4.527	depleted	1.000	0
7857	Bifidobacterium	genus	Actinobacteria	73716	Parkinson Disease	D010300	4	4	4	0	1	4.125	enriched	1.000	0
7872	Campylobacter	genus	Campylobacterota	20491	Colorectal Neoplasms	D015179	4	4	4	0	1	2.658	enriched	1.000	0
7890	Veillonella	genus	Firmicutes	12713	Crohn Disease	D003424	5	4	4	0	1	4.149	enriched	1.000	0
7960	Enterocloster	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	4	4	4	0	1	3.605	enriched	1.000	0
8000	Anaerotignum	genus	Firmicutes	12713	Crohn Disease	D003424	6	4	0	4	1	2.976	depleted	1.000	0
8086	Simiaoa	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	4	4	0	4	1	3.208	depleted	1.000	0
8171	Lactococcus	genus	Firmicutes	28066	COVID-19	D000086382	4	4	0	4	1	2.711	depleted	1.000	0
8271	Klebsiella	genus	Proteobacteria	28066	COVID-19	D000086382	4	4	0	4	1	3.803	depleted	1.000	0
8304	Parabacteroides	genus	Bacteroidetes	20491	Colorectal Neoplasms	D015179	4	4	4	0	1	3.893	enriched	1.000	0
7685	Waltera	genus	NULL	12711	Colitis, Ulcerative	D003093	5	4	1	4	1	3.414	depleted	0.800	1
7713	Agathobaculum	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	5	4	1	4	1	3.028	depleted	0.800	1
7790	Negativibacillus	genus	Firmicutes	12713	Crohn Disease	D003424	6	4	1	4	1	2.814	depleted	0.800	1
7839	Vescimonas	genus	Firmicutes	12713	Crohn Disease	D003424	6	4	1	4	1	3.269	depleted	0.800	1
7881	Intestinimonas	genus	Firmicutes	12713	Crohn Disease	D003424	5	4	1	4	1	2.569	depleted	0.800	1
7960	Enterocloster	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	5	4	1	4	1	3.734	depleted	0.800	1
35	Odoribacter	genus	Bacteroidetes	73716	Parkinson Disease	D010300	3	3	3	0	1	3.423	enriched	1.000	0
40	Megasphaera	genus	Firmicutes	44996	Diabetes Mellitus, Type 1	D003922	3	3	0	3	1	3.723	depleted	1.000	0
46	Peptoniphilus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	3	0	1	3.07	enriched	1.000	0
47	Paraprevotella	genus	Bacteroidetes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	3.684	depleted	1.000	0
70	Adlercreutzia	genus	Actinobacteria	28066	COVID-19	D000086382	3	3	0	3	1	3.062	depleted	1.000	0
82	Turicibacter	genus	Firmicutes	56231	HIV Infections	D015658	3	3	0	3	1	3.038	depleted	1.000	0
106	Sutterella	genus	Proteobacteria	12711	Colitis, Ulcerative	D003093	5	3	0	3	1	3.74	depleted	1.000	0
106	Sutterella	genus	Proteobacteria	62143	Renal Insufficiency, Chronic	D051436	3	3	0	3	1	3.461	depleted	1.000	0
155	Parvimonas	genus	Firmicutes	12713	Crohn Disease	D003424	4	3	3	0	1	3.259	enriched	1.000	0
173	Holdemania	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	3	3	3	0	1	2.627	enriched	1.000	0
217	Dialister	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	0	3	1	3.221	depleted	1.000	0
217	Dialister	genus	Firmicutes	69131	Myasthenia Gravis	D009157	3	3	0	3	1	4.253	depleted	1.000	0
480	Anaerococcus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	3	3	3	0	1	2.649	enriched	1.000	0
886	Cloacibacillus	genus	Synergistetes	20491	Colorectal Neoplasms	D015179	3	3	3	0	1	2.854	enriched	1.000	0
1101	Eggerthella	genus	Actinobacteria	12713	Crohn Disease	D003424	3	3	3	0	1	3.433	enriched	1.000	0
7657	Bacteroides	genus	Bacteroidetes	48916	Fatigue Syndrome, Chronic	D015673	3	3	3	0	1	4.857	enriched	1.000	0
7664	Coprococcus	genus	Firmicutes	18168	Inflammatory Bowel Diseases	D015212	3	3	0	3	1	4.036	depleted	1.000	0
7664	Coprococcus	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	3.63	depleted	1.000	0
7664	Coprococcus	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	0	3	1	3.565	depleted	1.000	0
7664	Coprococcus	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	3	3	0	3	1	3.653	depleted	1.000	0
7665	Fusicatenibacter	genus	Firmicutes	18168	Inflammatory Bowel Diseases	D015212	3	3	0	3	1	4	depleted	1.000	0
7666	Faecalibacterium	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	4.296	depleted	1.000	0
7666	Faecalibacterium	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	3	3	0	3	1	4.46	depleted	1.000	0
7667	Alistipes	genus	Bacteroidetes	56231	HIV Infections	D015658	3	3	0	3	1	3.388	depleted	1.000	0
7671	Lachnospira	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	0	3	1	4.205	depleted	1.000	0
7672	Collinsella	genus	Actinobacteria	28066	COVID-19	D000086382	3	3	0	3	1	4.282	depleted	1.000	0
7673	Prevotella	genus	Bacteroidetes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	4.233	depleted	1.000	0
7673	Prevotella	genus	Bacteroidetes	62116	Kidney Failure, Chronic	D007676	3	3	0	3	1	4.341	depleted	1.000	0
7673	Prevotella	genus	Bacteroidetes	73716	Parkinson Disease	D010300	3	3	0	3	1	4.09	depleted	1.000	0
7686	Roseburia	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	3.861	depleted	1.000	0
7689	Holdemanella	genus	Firmicutes	28066	COVID-19	D000086382	3	3	0	3	1	3.544	depleted	1.000	0
7689	Holdemanella	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	2.684	depleted	1.000	0
7691	Parasutterella	genus	Proteobacteria	62143	Renal Insufficiency, Chronic	D051436	3	3	0	3	1	3.695	depleted	1.000	0
7693	Mediterraneibacter	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	3	0	1	4.32	enriched	1.000	0
7713	Agathobaculum	genus	Firmicutes	28066	COVID-19	D000086382	3	3	0	3	1	3.719	depleted	1.000	0
7713	Agathobaculum	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	2.976	depleted	1.000	0
7720	Thomasclavelia	genus	Firmicutes	28066	COVID-19	D000086382	3	3	3	0	1	3.825	enriched	1.000	0
7720	Thomasclavelia	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	3	0	1	3.243	enriched	1.000	0
7720	Thomasclavelia	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	3	3	3	0	1	3.941	enriched	1.000	0
7721	Barnesiella	genus	Bacteroidetes	73716	Parkinson Disease	D010300	3	3	3	0	1	3.569	enriched	1.000	0
7725	Coprobacter	genus	Bacteroidetes	28066	COVID-19	D000086382	3	3	0	3	1	2.712	depleted	1.000	0
7737	Lentihominibacter	genus	Firmicutes	12713	Crohn Disease	D003424	4	3	0	3	1	2.748	depleted	1.000	0
7739	Flavonifractor	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	3	0	1	3.275	enriched	1.000	0
7739	Flavonifractor	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	3	0	1	3.551	enriched	1.000	0
7739	Flavonifractor	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	3	3	3	0	1	3.637	enriched	1.000	0
7741	Mitsuokella	genus	Firmicutes	12713	Crohn Disease	D003424	3	3	0	3	1	3.071	depleted	1.000	0
7741	Mitsuokella	genus	Firmicutes	28066	COVID-19	D000086382	3	3	0	3	1	3.527	depleted	1.000	0
7741	Mitsuokella	genus	Firmicutes	45328	Diabetes Mellitus, Type 2	D003924	3	3	3	0	1	3.481	enriched	1.000	0
7745	Kineothrix	genus	Firmicutes	12713	Crohn Disease	D003424	3	3	0	3	1	2.865	depleted	1.000	0
7745	Kineothrix	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	3.111	depleted	1.000	0
7750	Victivallis	genus	Lentisphaerae	12711	Colitis, Ulcerative	D003093	3	3	0	3	1	2.454	depleted	1.000	0
7755	Eisenbergiella	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	3	0	1	3.037	enriched	1.000	0
7755	Eisenbergiella	genus	Firmicutes	68391	Multiple Sclerosis	D009103	3	3	3	0	1	3.244	enriched	1.000	0
7758	Faecalitalea	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	5	3	3	0	1	3.195	enriched	1.000	0
7771	Hydrogenoanaerobacterium	genus	Firmicutes	12713	Crohn Disease	D003424	4	3	0	3	1	2.274	depleted	1.000	0
7772	Senegalimassilia	genus	Actinobacteria	12713	Crohn Disease	D003424	4	3	0	3	1	2.581	depleted	1.000	0
7782	Actinomyces	genus	Actinobacteria	45328	Diabetes Mellitus, Type 2	D003924	3	3	3	0	1	2.984	enriched	1.000	0
7782	Actinomyces	genus	Actinobacteria	62143	Renal Insufficiency, Chronic	D051436	4	3	3	0	1	2.656	enriched	1.000	0
7790	Negativibacillus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	4	3	3	0	1	2.985	enriched	1.000	0
7792	Lachnoclostridium	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	3	0	1	2.868	enriched	1.000	0
7796	Allisonella	genus	NULL	12711	Colitis, Ulcerative	D003093	3	3	0	3	1	2.367	depleted	1.000	0
7796	Allisonella	genus	NULL	12713	Crohn Disease	D003424	4	3	3	0	1	2.458	enriched	1.000	0
7813	Lactobacillus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	3	0	1	3.269	enriched	1.000	0
7824	Romboutsia	genus	Firmicutes	45328	Diabetes Mellitus, Type 2	D003924	3	3	0	3	1	4.207	depleted	1.000	0
7824	Romboutsia	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	4	3	0	3	1	3.07	depleted	1.000	0
7828	Ruthenibacterium	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	3	0	1	3.418	enriched	1.000	0
7842	Tyzzerella	genus	Firmicutes	12713	Crohn Disease	D003424	4	3	3	0	1	3.199	enriched	1.000	0
7851	Streptococcus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	4	3	3	0	1	3.402	enriched	1.000	0
7855	Catenibacterium	genus	Firmicutes	12713	Crohn Disease	D003424	3	3	3	0	1	3.023	enriched	1.000	0
7860	Hungatella	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	3	0	1	3.222	enriched	1.000	0
7860	Hungatella	genus	Firmicutes	68391	Multiple Sclerosis	D009103	3	3	3	0	1	2.936	enriched	1.000	0
7860	Hungatella	genus	Firmicutes	73716	Parkinson Disease	D010300	3	3	3	0	1	3.035	enriched	1.000	0
7870	Blautia	genus	Firmicutes	28066	COVID-19	D000086382	3	3	0	3	1	4.66	depleted	1.000	0
7870	Blautia	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	3	0	1	4.028	enriched	1.000	0
7876	Dorea	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	3.05	depleted	1.000	0
7876	Dorea	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	3	0	3	1	3.492	depleted	1.000	0
7876	Dorea	genus	Firmicutes	310607	Sjogren's Syndrome	D012859	3	3	0	3	1	NULL	depleted	1.000	0
7881	Intestinimonas	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	3	0	1	3.206	enriched	1.000	0
7889	Subdoligranulum	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	4	3	0	3	1	4.384	depleted	1.000	0
7889	Subdoligranulum	genus	Firmicutes	12713	Crohn Disease	D003424	4	3	0	3	1	4.42	depleted	1.000	0
7889	Subdoligranulum	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	0	3	1	4.313	depleted	1.000	0
7890	Veillonella	genus	Firmicutes	18168	Inflammatory Bowel Diseases	D015212	3	3	3	0	1	4.064	enriched	1.000	0
7890	Veillonella	genus	Firmicutes	310607	Sjogren's Syndrome	D012859	3	3	3	0	1	NULL	enriched	1.000	0
7960	Enterocloster	genus	Firmicutes	28066	COVID-19	D000086382	3	3	3	0	1	3.921	enriched	1.000	0
8011	Candidatus Cibiobacter	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	3.269	depleted	1.000	0
8037	Faecalibacillus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	0	3	1	2.497	depleted	1.000	0
8042	Frisingicoccus	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	4	3	3	0	1	2.546	enriched	1.000	0
8058	Lacrimispora	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	0	3	1	3.326	depleted	1.000	0
8086	Simiaoa	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	3	3	0	3	1	3.302	depleted	1.000	0
