Phylum,Class,Order,Family,Genus,Species,Oxygen,pH,Spore
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Saltans,aerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Agilis,anaerobe,acidophile,0
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Candidatus Epulonipiscium,,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Spirochaetota,Spirochaetia,Spirochaetales,Sphaerochaetaceae,Sphaerochaeta,,anaerobe,Unknown,Unknown
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Asahii,aerobe,alkaliphile,1
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Muciniphila,anaerobe,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Casseliflavus,facultative anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Tannerae,anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,,anaerobe,Unknown,0
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Luteciae,facultative anaerobe,alkaliphile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Pectinoschiza,anaerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,,anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Uniformis,anaerobe,alkaliphile,0
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Bryantii,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Moorei,anaerobe,Unknown,Unknown
Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Alcaligenes,aerobe,alkaliphile,0
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Ureolyticus,microaerophile,acidophile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Faecis,anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Distasonis,anaerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Equi,facultative anaerobe,alkaliphile,0
Streptophyta,Magnoliopsida,Fabales,Fabaceae,Rothia,Mucilaginosa,aerobe,alkaliphile,0
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Perfringens,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Caccae,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Lwoffii,aerobe,alkaliphile,0
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,,anaerobe,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Beninensis,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Acidaminiphila,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Ovatus,anaerobe,alkaliphile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Eutactus,Unknown,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Fragilis,anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Endodontalis,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Oxobacter,,anaerobe,Unknown,Unknown
Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,facultative anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Fimetarium,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XII. Incertae Sedis,Fusibacter,,anaerobe,Unknown,0
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Rimae,anaerobe,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Longum,anaerobe,acidophile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Plebeius,anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Aerofaciens,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Prausnitzii,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Melaninogenica,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,,anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,,anaerobe,Unknown,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Formatexigens,anaerobe,Unknown,Unknown
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,,aerobe,Unknown,Unknown
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,,anaerobe,Unknown,0
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,,anaerobe,Unknown,0
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nigrescens,anaerobe,alkaliphile,0
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Dispar,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Stercorea,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,,anaerobe,Unknown,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Ruminantium,anaerobe,alkaliphile,1
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnobacterium,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Cylindroides,anaerobe,Unknown,0
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,,anaerobe,Unknown,Unknown
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Stercoris,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Bromii,anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Gadei,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Biforme,anaerobe,Unknown,0
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Parvula,aerobe,alkaliphile,0
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Hypermegale,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Colinum,anaerobe,alkaliphile,1
Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,,anaerobe,alkaliphile,1
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Dolichum,anaerobe,Unknown,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,Satelles,Unknown,Unknown,Unknown
Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Gargensis,Unknown,Unknown,Unknown
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Hyovaginalis,anaerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Aureus,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,,anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Candidatus Azobacteroides,,Unknown,Unknown,Unknown
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Syntrophococcus,Sucromutans,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Gargensis,Unknown,Unknown,Unknown
Bacillota,Clostridia,Lutisporales,Lutisporaceae,Lutispora,,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Barnesiae,anaerobe,alkaliphile,0
Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Polytropa,anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nanceiensis,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Difficile,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Caldicoprobacteraceae,Caldicoprobacter,,anaerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,,aerobe,alkaliphile,Unknown
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Hiranonis,anaerobe,alkaliphile,1
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Castelli,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Eggerthii,anaerobe,alkaliphile,0
Chlorobiota,Chlorobiia,Chlorobiales,Chloroherpetonaceae,Chloroherpeton,,Unknown,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Tissierellia,Tissierellales,Tepidimicrobiaceae,Tepidimicrobium,,anaerobe,alkaliphile,1
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Pseudobutyrivibrio,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Moryella,Indoligenes,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Torques,anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Coprophilus,anaerobe,alkaliphile,0
Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Berteroana,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Arthropoda,Insecta,Lepidoptera,Geometridae,Victoria,Amazonica,Unknown,Unknown,Unknown
Streptophyta,Magnoliopsida,Proteales,Nelumbonaceae,Nelumbo,Nucifera,Unknown,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Breve,anaerobe,acidophile,0
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,Sitiensis,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Nesterenkonia,,aerobe,alkaliphile,0
Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,,anaerobe,Unknown,Unknown
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,,anaerobe,Unknown,Unknown
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Krokinobacter,Genikus,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerofilum,,anaerobe,Unknown,Unknown
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Pectinatus,,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Acnes,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidum,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,,microaerophile,acidophile,0
Bacillota,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Peptostreptococcales,Tindalliaceae,Tindallia,,anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,,anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Parainfluenzae,microaerophile,Unknown,0
Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Indistinctus,anaerobe,Unknown,0
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Thiobacillus,,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,,anaerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Formigenes,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Oxytoca,aerobe,Unknown,0
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus,,anaerobe,Unknown,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hylemonella,,aerobe,Unknown,Unknown
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Prauserella,Rugosa,aerobe,alkaliphile,1
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,,anaerobe,Unknown,0
