id	kingdom	phylum	class_name	order_name	family	genus	species	genus_key	species_key	scientific_name	taxonomic_rank	ncbi_tax_id	gram_stain	oxygen_requirement	ph_preference	sporulation	energy_mode	primary_food_source	created_at	updated_at
13	NULL	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium		phascolarctobacterium		Phascolarctobacterium	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
14	NULL	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema		treponema		Treponema	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
15	Eubacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens	collinsella	aerofaciens	Collinsella aerofaciens	species	411903	Positive	anaerobe	NULL	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
16	Eubacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	producta	blautia	producta	Blautia producta	species	1121114	Positive	anaerobe	NULL	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
17	Eubacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	prausnitzii	faecalibacterium	prausnitzii	Faecalibacterium prausnitzii	species	411483	Structurally positive but stains negative	anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
18	NULL	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillospira	guilliermondii	oscillospira	guilliermondii	Oscillospira guilliermondii	species	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
19	Eubacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pullorum	helicobacter	pullorum	Helicobacter pullorum	species	35818	Negative	microaerophile	NULL	0	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
20	NULL	Cyanobacteriota	Cyanophyceae	Gloeobacterales	Gloeobacteraceae	Gloeobacter	violaceus	gloeobacter	violaceus	Gloeobacter violaceus	species	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
21	Eubacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica	prevotella	melaninogenica	Prevotella melaninogenica	species	28132	Negative	anaerobe	alkaliphile	0	fermenter	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
22	NULL	Lentisphaerota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	vadensis	victivallis	vadensis	Victivallis vadensis	species	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
23	Eubacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	piscolens	pyramidobacter	piscolens	Pyramidobacter piscolens	species	352165	Negative	anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
24	NULL	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ethanoligenens		ethanoligenens		Ethanoligenens	genus	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
25	NULL	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Pseudoramibacter		pseudoramibacter		Pseudoramibacter	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
26	NULL	Bacillota	Tissierellia	Tissierellales	Tepidimicrobiaceae	Tepidimicrobium		tepidimicrobium		Tepidimicrobium	genus	NULL	NULL	anaerobe	alkaliphile	1	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
27	NULL	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Pseudobutyrivibrio		pseudobutyrivibrio		Pseudobutyrivibrio	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
28	NULL	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio		anaerovibrio		Anaerovibrio	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
29	NULL	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Moryella	indoligenes	moryella	indoligenes	Moryella indoligenes	species	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
30	NULL	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	torques	ruminococcus	torques	Ruminococcus torques	species	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
31	Eubacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	gnavus	ruminococcus	gnavus	Ruminococcus gnavus	species	33038	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
32	NULL	Arthropoda	Insecta	Phasmatodea	Bacillidae	Bacillus	muralis	bacillus	muralis	Bacillus muralis	species	NULL	NULL	aerobe	alkaliphile	1	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
33	NULL	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio		butyrivibrio		Butyrivibrio	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
34	NULL	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella		granulicatella		Granulicatella	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
35	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter		odoribacter		Odoribacter	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
36	Eubacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus		acidaminococcus		Acidaminococcus	genus	904	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
37	NULL	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Mogibacterium		mogibacterium		Mogibacterium	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
38	Eubacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	formatexigens	marvinbryantia	formatexigens	Marvinbryantia formatexigens	species	168384	Positive	anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
39	Eubacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila	akkermansia	muciniphila	Akkermansia muciniphila	species	239935	Negative	anaerobe	NULL	Pairs - Singles	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
40	NULL	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera		megasphaera		Megasphaera	genus	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
41	NULL	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	saltans	pedobacter	saltans	Pedobacter saltans	species	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
42	NULL	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum		methanocorpusculum		Methanocorpusculum	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
43	Eubacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	albus	ruminococcus	albus	Ruminococcus albus	species	1264	Positive	anaerobe	NULL	0	fermenter	complex_carbs_fiber	2026-06-19 10:03:02	2026-06-19 10:03:04
44	NULL	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas		dechloromonas		Dechloromonas	genus	NULL	NULL	aerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
45	NULL	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		fusobacterium		Fusobacterium	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
46	NULL	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus		peptoniphilus		Peptoniphilus	genus	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
47	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella		paraprevotella		Paraprevotella	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
48	Eubacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri	prevotella	copri	Prevotella copri	species	165179	Negative	anaerobe	alkaliphile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
49	Eubacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	durum	corynebacterium	durum	Corynebacterium durum	species	1035195	Positive	aerobe	alkaliphile	0	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
50	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprophilus	bacteroides	coprophilus	Bacteroides coprophilus	species	NULL	NULL	anaerobe	alkaliphile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:02
51	NULL	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia		slackia		Slackia	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
52	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter		paludibacter		Paludibacter	genus	NULL	NULL	facultative anaerobe	acidophile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
53	NULL	Streptophyta	Magnoliopsida	Myrtales	Onagraceae	Oenothera	berteroana	oenothera	berteroana	Oenothera berteroana	species	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
54	NULL	Arthropoda	Insecta	Lepidoptera	Geometridae	Victoria	amazonica	victoria	amazonica	Victoria amazonica	species	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
55	Eubacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	multacida	mitsuokella	multacida	Mitsuokella multacida	species	500635	Negative	anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
56	NULL	Streptophyta	Magnoliopsida	Proteales	Nelumbonaceae	Nelumbo	nucifera	nelumbo	nucifera	Nelumbo nucifera	species	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
57	NULL	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes		anaerostipes		Anaerostipes	genus	NULL	NULL	anaerobe	NULL	1	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
58	Eubacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	bifidobacterium	breve	Bifidobacterium breve	species	1203540	Positive	anaerobe	acidophile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
59	Eubacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	succinogenes	fibrobacter	succinogenes	Fibrobacter succinogenes	species	833	Negative	Anaerobic	NULL	Singles	fermenter	complex_carbs_fiber	2026-06-19 10:03:02	2026-06-19 10:03:04
60	NULL	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	sitiensis	olivibacter	sitiensis	Olivibacter sitiensis	species	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
61	NULL	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	p-1630-c5	bulleidia	p-1630-c5	Bulleidia p-1630-c5	species	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
62	NULL	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Frigoribacterium		frigoribacterium		Frigoribacterium	genus	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
63	NULL	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia		nesterenkonia		Nesterenkonia	genus	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
64	Eubacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	catus	coprococcus	catus	Coprococcus catus	species	116085	Positive	Anaerobe	NULL	NULL	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
65	NULL	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter		anaeromyxobacter		Anaeromyxobacter	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
66	Eubacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	obeum	blautia	obeum	Blautia obeum	species	40520	Positive	anaerobe	NULL	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
67	NULL	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum		allobaculum		Allobaculum	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
68	NULL	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	c21_c20	desulfovibrio	c21_c20	Desulfovibrio c21_c20	species	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
69	NULL	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Krokinobacter	genikus	krokinobacter	genikus	Krokinobacter genikus	species	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
70	NULL	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia		adlercreutzia		Adlercreutzia	genus	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
71	NULL	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Dehalobacterium		dehalobacterium		Dehalobacterium	genus	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
72	NULL	Actinomycetota	Actinomycetes	Mycobacteriales	Dietziaceae	Dietzia		dietzia		Dietzia	genus	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
73	NULL	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Anaerofilum		anaerofilum		Anaerofilum	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
74	Eubacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	anginosus	streptococcus	anginosus	Streptococcus anginosus	species	1328	Positive	facultative anaerobe	alkaliphile	0	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
75	NULL	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Pectinatus		pectinatus		Pectinatus	genus	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
76	NULL	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	succinicans	flavobacterium	succinicans	Flavobacterium succinicans	species	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
77	Eubacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propionibacterium	acnes	propionibacterium	acnes	Propionibacterium acnes	species	1747	Positive	anaerobe	alkaliphile	0	fermenter	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
78	NULL	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga		hydrogenophaga		Hydrogenophaga	genus	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
79	Eubacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum	bifidobacterium	bifidum	Bifidobacterium bifidum	species	1681	Positive	anaerobe	acidophile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
80	NULL	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia		mannheimia		Mannheimia	genus	NULL	NULL	microaerophile	acidophile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
81	NULL	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter		methanobrevibacter		Methanobrevibacter	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
82	NULL	Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter		turicibacter		Turicibacter	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
83	NULL	Spirochaetota	Spirochaetia	Spirochaetales	Sphaerochaetaceae	Sphaerochaeta		sphaerochaeta		Sphaerochaeta	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
84	NULL	Bacillota	Clostridia	Peptostreptococcales	Tindalliaceae	Tindallia		tindallia		Tindallia	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
85	NULL	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum		succiniclasticum		Succiniclasticum	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
86	NULL	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Methylibium		methylibium		Methylibium	genus	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
87	Eubacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	formicigenerans	dorea	formicigenerans	Dorea formicigenerans	species	39486	Positive	anaerobe	NULL	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
88	Eubacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae	haemophilus	parainfluenzae	Haemophilus parainfluenzae	species	729	Negative	microaerophile	NULL	0	mixed	N/A	2026-06-19 10:03:02	2026-06-19 10:03:04
89	NULL	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Anaerofustis		anaerofustis		Anaerofustis	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
90	Eubacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	nigrescens	prevotella	nigrescens	Prevotella nigrescens	species	28133	Negative	anaerobe	alkaliphile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
91	Eubacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	dispar	veillonella	dispar	Veillonella dispar	species	39778	Negative	anaerobe	alkaliphile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
92	Eubacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	stercorea	prevotella	stercorea	Prevotella stercorea	species	1002367	Negative	anaerobe	alkaliphile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
93	NULL	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Peptococcus		peptococcus		Peptococcus	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
94	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas		butyricimonas		Butyricimonas	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
95	NULL	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	ruminantium	clostridium	ruminantium	Clostridium ruminantium	species	NULL	NULL	anaerobe	alkaliphile	1	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
96	NULL	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnobacterium		lachnobacterium		Lachnobacterium	genus	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
97	NULL	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	agilis	lactobacillus	agilis	Lactobacillus agilis	species	NULL	NULL	anaerobe	acidophile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
98	NULL	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium		chryseobacterium		Chryseobacterium	genus	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
99	NULL	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Candidatus epulonipiscium		candidatus epulonipiscium		Candidatus epulonipiscium	genus	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
100	NULL	Arthropoda	Insecta	Phasmatodea	Bacillidae	Bacillus	asahii	bacillus	asahii	Bacillus asahii	species	NULL	NULL	aerobe	alkaliphile	1	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
101	Eubacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus	enterococcus	casseliflavus	Enterococcus casseliflavus	species	37734	Positive	facultative anaerobe	alkaliphile	0	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
102	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	tannerae	prevotella	tannerae	Prevotella tannerae	species	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
103	NULL	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium		arcanobacterium		Arcanobacterium	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
104	NULL	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	luteciae	streptococcus	luteciae	Streptococcus luteciae	species	NULL	NULL	facultative anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
105	NULL	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	pectinoschiza	lachnospira	pectinoschiza	Lachnospira pectinoschiza	species	NULL	NULL	anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
106	NULL	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella		sutterella		Sutterella	genus	NULL	NULL	anaerobe	NULL	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
